sno,text,label,,,,,,,,,,,,,,,,
92,Votes are more collected my hooks and crooks and less by honesty.,1,,,,,,,,,,,,,,,,
93,They are a nuissance.,1,,,,,,,,,,,,,,,,
94,The great Aam Admi Party stands for the goods of people.,0,,,,,,,,,,,,,,,,
95,You are of no use to the nation.,1,,,,,,,,,,,,,,,,
96,No girl will like you.,1,,,,,,,,,,,,,,,,
97,At least one flight is scheduled to crash.,1,,,,,,,,,,,,,,,,
98,How can the nation trust a cooking hand?,1,,,,,,,,,,,,,,,,
99,Women are moving forward in every field.,0,,,,,,,,,,,,,,,,
100,They are shouting unnecessarily.,1,,,,,,,,,,,,,,,,
101,Stand for something genuine.,1,,,,,,,,,,,,,,,,
102,They are creating nuissance for everyone.,1,,,,,,,,,,,,,,,,
103,Everyone should stand for their own rights.,0,,,,,,,,,,,,,,,,
104,He looks like a criminal.,1,,,,,,,,,,,,,,,,
105,Everyone holding a knife in public is a robber.,1,,,,,,,,,,,,,,,,
106,You will not be forgiven for your sins.,1,,,,,,,,,,,,,,,,
107,Knife protects us at times.,0,,,,,,,,,,,,,,,,
108,He is a freak.,1,,,,,,,,,,,,,,,,
109,He has a good sense of humor.,0,,,,,,,,,,,,,,,,
110,Not all dogs are loyal.,1,,,,,,,,,,,,,,,,
111,Dogs are generally for night's watch.,1,,,,,,,,,,,,,,,,
112,Policemen are great help to a society.,0,,,,,,,,,,,,,,,,
113,This is the effect of photo filter.,1,,,,,,,,,,,,,,,,
114,In this generation anyone can look good.,1,,,,,,,,,,,,,,,,
115,You are naturally charming.,0,,,,,,,,,,,,,,,,
116,You are not fat you are just chubby.,0,,,,,,,,,,,,,,,,
117,I think you should be given a larger sitting space.,1,,,,,,,,,,,,,,,,
118,Eat to stay slim like him.,1,,,,,,,,,,,,,,,,
119,Comparable sizes.,1,,,,,,,,,,,,,,,,
120,You should brush your teeth daily.,0,,,,,,,,,,,,,,,,
121, Is this the advertisement of some toothpaste.,1,,,,,,,,,,,,,,,,
122,You have shining and attractive face with glowing teeth.,1,,,,,,,,,,,,,,,,
123,Its not possible for you to cross the door.,1,,,,,,,,,,,,,,,,
124,You are not fat you are just chubby.,0,,,,,,,,,,,,,,,,
125,Footballs never shrink.,1,,,,,,,,,,,,,,,,
126,I am so scared to look at that ugly face of yours.,1,,,,,,,,,,,,,,,,
127,are you afraid to look at your face in the mirror?,1,,,,,,,,,,,,,,,,
128,I need to go to the doctor.,0,,,,,,,,,,,,,,,,
129,I think I have had a side affect.,0,,,,,,,,,,,,,,,,
130,are you visible in the dark?,1,,,,,,,,,,,,,,,,
131,I am black and I am proud of my skin color.,0,,,,,,,,,,,,,,,,
132,are you not afraid o this face of yours?,1,,,,,,,,,,,,,,,,
133,you should go and get a check up from a skin doctor.,0,,,,,,,,,,,,,,,,
134,how do you get back up once you sit?,1,,,,,,,,,,,,,,,,
135,your face gives me nightmares.,1,,,,,,,,,,,,,,,,
136,I got this scar when I met with an accident last year.,0,,,,,,,,,,,,,,,,
137,this is how your face looks after he punched you.,1,,,,,,,,,,,,,,,,
138,you look like a ghost.,1,,,,,,,,,,,,,,,,
139,are you blind,1,,,,,,,,,,,,,,,,
140,why tf are bald people so dumb,1,,,,,,,,,,,,,,,,
141,I lost my hair due to that illness,0,,,,,,,,,,,,,,,,
142,some bald people are ruling the world.,0,,,,,,,,,,,,,,,,
143,you save shampoos of the world.,1,,,,,,,,,,,,,,,,
144,my luck is like a bald guy who just won a comb.,1,,,,,,,,,,,,,,,,
145,women love bald guys.,0,,,,,,,,,,,,,,,,
146,I maybe blind but atleast I am not black.,1,,,,,,,,,,,,,,,,
147,one does not smply like a black person,1,,,,,,,,,,,,,,,,
148,"once you go black, you never go back",1,,,,,,,,,,,,,,,,
149,how is the weather up there?,1,,,,,,,,,,,,,,,,
150,I have always been this tall,0,,,,,,,,,,,,,,,,
151,I am taller than you,0,,,,,,,,,,,,,,,,
152,are you standing on a chair,1,,,,,,,,,,,,,,,,
153,when short people say they matter.,1,,,,,,,,,,,,,,,,
154,short people are so mean because they are closer to hell.,1,,,,,,,,,,,,,,,,
155,I have a short height.,0,,,,,,,,,,,,,,,,
156,5th graders are taller than you,1,,,,,,,,,,,,,,,,
157,"when all your frieds start looking old, you will still liik young and vibrant.",0,,,,,,,,,,,,,,,,
158,peek-a-boo. I still cant see you,1,,,,,,,,,,,,,,,,
159,"hello, I am from china",0,,,,,,,,,,,,,,,,
160,I really like chinese people and their culture,0,,,,,,,,,,,,,,,,
161,chinese jokes are just wrong,1,,,,,,,,,,,,,,,,
162,your eyes are so small. are you chinese or from hills?,1,,,,,,,,,,,,,,,,
163,are you sleepy,1,,,,,,,,,,,,,,,,
164,my grandpa live swith us,0,,,,,,,,,,,,,,,,
165,age has taught me a lot,0,,,,,,,,,,,,,,,,
166,I love old people as they are very wise,0,,,,,,,,,,,,,,,,
167,my grandad cant even use a smart phone,1,,,,,,,,,,,,,,,,
168,"as old as you are, I am sure you are next",1,,,,,,,,,,,,,,,,
169,keep rolling your eyes. Maybe you'll find a brain back there.,1,,,,,,,,,,,,,,,,
170,what you are saying doesn’t makes sense,0,,,,,,,,,,,,,,,,
171,even jesus is rolling eyes at your stupidity,1,,,,,,,,,,,,,,,,
172,you have so many girl friends. Are you gay?,1,,,,,,,,,,,,,,,,
173,girls back at my college are very friendly,0,,,,,,,,,,,,,,,,
174,Want equal rights but also want to be treated like a lady.,1,,,,,,,,,,,,,,,,
175,I am a girl and I deserve equal rights as men.,0,,,,,,,,,,,,,,,,
176, I am a proud feminist.,0,,,,,,,,,,,,,,,,
177,I can hit you but You can't hit me. I am a girl.,1,,,,,,,,,,,,,,,,
178,Demand equal rights. Expect the man to pay.,1,,,,,,,,,,,,,,,,
179, Men and women should support the fight for equality together,0,,,,,,,,,,,,,,,,
180,Do you have designer shades to hide your face?,1,,,,,,,,,,,,,,,,
181,My brother has similar features.,0,,,,,,,,,,,,,,,,
182,You are ugly.,1,,,,,,,,,,,,,,,,
183,Your face gives me nightmares.,1,,,,,,,,,,,,,,,,
184,I would love to insult you but I am afraid I won't do it as well as nature did.,1,,,,,,,,,,,,,,,,
185,Your face. It's bad.,1,,,,,,,,,,,,,,,,
186,Yo nigga. You ugly.,1,,,,,,,,,,,,,,,,
187,Is this your real name or someone just fell asleep on keyboard.,1,,,,,,,,,,,,,,,,
188,South Indians are sweet people.,0,,,,,,,,,,,,,,,,
189,All South Indians are madrasi.,1,,,,,,,,,,,,,,,,
190,How many years does it take to speak your name.,1,,,,,,,,,,,,,,,,
191, Is it your name or whole of your village's?,1,,,,,,,,,,,,,,,,
192,I like south Indian culture,0,,,,,,,,,,,,,,,,
193, I only watch south Indian action movies.,0,,,,,,,,,,,,,,,,
194,You dance really well.,0,,,,,,,,,,,,,,,,
195,My hobby is dancing.,0,,,,,,,,,,,,,,,,
196,"What else do you know, cheerleader?",1,,,,,,,,,,,,,,,,
197,Dance like no one is watching,0,,,,,,,,,,,,,,,,
198,Are you planning a murder?,1,,,,,,,,,,,,,,,,
199,I am an introvert.,0,,,,,,,,,,,,,,,,
200,i think you should try to mix with people more.,0,,,,,,,,,,,,,,,,
